timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624858918338,410,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-989,text,true,,265,128,88,88,http://localhost/api/Values/Get,410,0,1
1624858918328,420,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-934,text,true,,265,128,88,88,http://localhost/api/Values/Get,420,0,1
1624858918341,422,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-948,text,true,,265,128,88,88,http://localhost/api/Values/Get,422,0,1
1624858918338,425,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-978,text,true,,265,128,88,88,http://localhost/api/Values/Get,425,0,1
1624858918338,425,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-947,text,true,,265,128,88,88,http://localhost/api/Values/Get,425,0,1
1624858918348,415,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-933,text,true,,265,128,88,88,http://localhost/api/Values/Get,415,0,1
1624858918370,425,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-994,text,true,,265,128,90,90,http://localhost/api/Values/Get,425,0,1
1624858918370,425,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-984,text,true,,265,128,90,90,http://localhost/api/Values/Get,425,0,1
1624858918354,441,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-999,text,true,,265,128,90,90,http://localhost/api/Values/Get,441,0,0
1624858918386,409,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-992,text,true,,265,128,90,90,http://localhost/api/Values/Get,409,0,1
1624858918368,429,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-932,text,true,,265,128,90,90,http://localhost/api/Values/Get,429,0,1
1624858918371,439,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-991,text,true,,265,128,91,91,http://localhost/api/Values/Get,439,0,0
1624858918388,453,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-931,text,true,,265,128,92,92,http://localhost/api/Values/Get,453,0,1
1624858918386,455,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-995,text,true,,265,128,92,92,http://localhost/api/Values/Get,455,0,1
1624858918402,441,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-1000,text,true,,265,128,92,92,http://localhost/api/Values/Get,441,0,0
